100	25									
137	Weibull	0	1	8	3	7.1438	6.58	1.2	16	25
243	Weibull	0	1	8	3	7.1438	10.11	1.2	16	25
337	Beta	0	6.2100	2.2222	2.2222
353	Weibull	0	1	8	3	7.1438	6.93	1.2	16	25
417	Beta	0	4.5200	2.2222	2.2222
429	Beta	0	7.7600	2.2222	2.2222
435	Weibull	0	1	8	3	7.1438	9.13	1.2	16	25
439	Beta	0	7.4200	2.2222	2.2222
495	Weibull	0	1	8	3	7.1438	10.31	1.2	16	25
527	Weibull	0	1	8	3	7.1438	11.66	1.2	16	25
138	Dependent	137	0.3559
244	Dependent	243	0.1444
338	Dependent	337	-0.1410
354	Dependent	353	0.2045
418	Dependent	417	0.1230
430	Dependent	429	0.5071
436	Dependent	435	0.1244
440	Dependent	439	-0.06222
496	Dependent	495	0.1506
528	Dependent	527	0.4019

1	Normal	-0.9000	0.009
9	Normal	-3.5500	0.030
11	Normal	-1.2900	0.010
17	Normal	-0.9500	0.009
19	Normal	-1.5300	0.010
27	Normal	-1.6000	0.010
29	Normal	-1.2500	0.010
33	Normal	-5.6000	0.050
37	Normal	-6.0500	0.060
75	Normal	-1.9300	0.010
2	Dependent	1	0.5344
10	Dependent	9	0.3632
12	Dependent	11	0.3421
18	Dependent	17	0.4519
20	Dependent	19	0.0854
28	Dependent	27	0.3720
30	Dependent	29	0.1828
34	Dependent	33	0.3901
38	Dependent	37	0.1646
76	Dependent	75	0.1507

85	Normal	-0.9200	0.009
97	Normal	-0.9700	0.009
101	Normal	-2.1500	0.020
105	Normal	-2.2800	0.020
117	Normal	-1.1500	0.010
121	Normal	-2.2600	0.020
125	Normal	-2.0600	0.020
197	Normal	-7.8200	0.070
199	Normal	-5.3800	0.050
201	Normal	-2.2800	0.020
86	Dependent	85	0.2805
98	Dependent	97	0.2069
102	Dependent	101	0.4936	
106	Dependent	105	0.4791
118	Dependent	117	0.3278
122	Dependent	121	0.3155
126	Dependent	125	0.3516
198	Dependent	197	0.2765
200	Dependent	199	0.1026
202	Dependent	201	0.0517

207	Normal	-5.1900	0.050
211	Normal	-3.8000	0.030
227	Normal	-1.6900	0.010
231	Normal	-2.7100	0.020
233	Normal	-10.190	0.100
235	Normal	-5.8900	0.050
237	Normal	-3.8400	0.030
267	Normal	-1.9800	0.010
271	Normal	-1.2200	0.010
291	Normal	-2.9900	0.030
208	Dependent	207	-0.2268
212	Dependent	211	0.09715
228	Dependent	227	0.2454
232	Dependent	231	0.3695
234	Dependent	233	-0.09186
236	Dependent	235	0.1426
238	Dependent	237	0.2975
268	Dependent	267	0.2509
272	Dependent	271	-0.1989
292	Dependent	291	0.3209

533	Normal	-0.042	0.008
535	Normal	-0.027	0.004
547	Normal	-0.048	0.008
569	Normal	-0.030	0.004
573	Normal	-0.025	0.004
583	Normal	-0.350	0.14
585	Normal	-0.290	0.14
597	Normal	-0.037	0.008
534	Dependent	533	0.4728
536	Dependent	535	0.3444
548	Dependent	547	0.3250
570	Dependent	569	0.3256
574	Dependent	573	0.3502
584	Dependent	583	-0.3422
586	Dependent	585	0.7674
598	Dependent	597	0.3307
589	Weibull	0	1	8	3	7.1438	1	1.2	16	25
591	Weibull	0	1	8	3	7.1438	0.4	1.2	16	25
590	Dependent	589	0.4342
592	Dependent	591	0.5

3	0.0558353	0.436820	0.01
4	0.0558414	0.648980	0.01
5	0.0420957	0.374860	0.01
6	0.0420957	0.374860	0.01
7	0.0421069	0.380460	0.01
8	0	0.152000	0.003
9	0	0.800000	0.01
10	0.2253304	0.246660	0.01
11	0.2253709	0.493320	0.01
12	0.2253709	0.493320	0.01
13	0.1760846	0.432860	0.01
14	0.1760846	0.432860	0.01
15	0.7643040	0.070260	0.003
16	1.1616532	0.952780	0.01
17	0.1575874	2.815200	0.02
18	0.1575927	3.220200	0.02
19	0.1690872	3.944000	0.02
20	0.1690916	3.615200	0.02
21	0.1487124	2.966800	0.02
22	0.1496937	2.057000	0.02
23	0.2262223	0.246660	0.01
24	0.1575914	4.672400	0.02
25	0.1575933	4.884600	0.02
26	0.1575911	4.805600	0.02
27	1.1615239	0.063520	0.003

/////
1	Normal	-0.9000	0.009
3	Normal	-0.5600	0.005
5	Normal	-0.2000	0.002
9	Normal	-3.5500	0.03
11	Normal	-0.4100	0.004
15	Normal	-0.6300	0.006
17	Normal	-0.9500	0.009
19	Normal	-1.5300	0.01
21	Normal	-0.8300	0.008
25	Normal	-0.5800	0.005
27	Normal	-1.6000	0.01
29	Normal	-1.2500	0.01
33	Normal	-5.6000	0.05
37	Normal	-6.0500	0.06
39	Normal	-0.7700	0.007
41	Normal	-0.8000	0.008
43	Normal	-0.2100	0.002
47	Normal	-0.4400	0.004
49	Normal	-0.2800	0.002
51	Normal	-0.6900	0.006
53	Normal	-0.5400	0.005
61	Normal	-0.8400	0.008
63	Normal	-1.5600	0.01
67	Normal	-0.4500	0.004
69	Normal	-0.8600	0.008
73	Normal	-0.3900	0.003
75	Normal	-1.9300	0.01
81	Normal	-0.5700	0.005
83	Normal	-0.4100	0.004
85	Normal	-0.9200	0.009
89	Normal	-0.6100	0.006
91	Normal	-0.6900	0.006
